Throughput: {} Gel/s 7.433404721770045
==32304== NVPROF is profiling process 32304, command: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling application: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream  Name
3.09294s  8.0590ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1618]
3.10100s  8.0242ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1627]
3.10903s  8.0354ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1636]
3.11707s  8.0108ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1645]
3.12508s  8.0528ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1654]
3.13314s  8.0262ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1663]
3.14117s  8.3139ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1672]
3.14949s  7.9996ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1681]
3.15749s  8.0201ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1690]
3.16551s  8.0272ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1699]
3.17354s  8.0283ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1708]
3.18158s  8.0364ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1717]
3.18962s  8.4880ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1726]
3.19811s  7.9791ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1735]
3.20609s  8.2228ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1744]
3.21432s  7.9883ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1753]
3.22231s  7.9709ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1762]
3.23029s  7.9893ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1771]
